id,sentence,sentiment_Stanford,sentiment_Google Cloud,sentiment_Monkey Learn,Grand Truth
757, That's now collapsed with tighter restrictions on interestonly loans,Neutral,Negative,Negative,Negative
758,Infographic: The stepup in interest only borrowing occurred over 201315,Negative,Neutral,Neutral,Neutral
759, (Supplied)Unlike homeowners; who will do almost anything to keep a roof over their heads even if they are unemployed; investors are more likely to be motivated by a desire to minimise losses,Negative,Neutral,Negative,Negative
760, So far; that has not occurred,Negative,Neutral,Negative,Negative
761, But a sustained drop in prices could become a Negative feedback loop as investors bail out,Negative,Neutral,Negative,Negative
762, According to Wayne Byers; the head of the banking regulator APRA; if the worst case scenario unfolds and prices drop as much as 35 per cent; its stress testing shows the banking system will remain intact; although individual banks will incur heavy losses,Negative,Negative,Negative,Negative
763," ""Credit growth appears to be slowing somewhat at the moment but that is not surprising in an environment of softening house prices and rising interest rates;"" he told an Australian Business Economists gathering in an upbeat speech back in July",Negative,Negative,Neutral,Negative
764, Let's hope his faith in our banks is on more solid ground than the Royal Commissioner's confidence is in APRA's ability to regulate them,Neutral,Positive,Positive,Positive
765, And it will set you back the same amount or less than that city pad,Positive,Neutral,Negative,Positive
766, In fact; new site The Earth Awaits makes the whole process so much easier by showing you exactly what your budget can buy you around the world,Positive,Positive,Positive,Positive
767,Keep clicking for some dream international realty,Neutral,Positive,Neutral,Neutral
768,Photography Hutch and Hutch 2 of 8 Four bed new build; Spain; $707;000 Sunshine and blue seas a prerequisite,Negative,Neutral,Neutral,Neutral
769, This architecturallydesigned villa is on the Spanish coast,Neutral,Positive,Neutral,Neutral
770, There's a pool; terrace and solarium,Negative,Positive,Neutral,Negative
771, Buy off plan for $707;000 with Modern Spanish Homes ,Negative,Positive,Neutral,Negative
772,Photography Modern Spanish Homes 3 of 8 One bed flat; London; $706;000 If it's period features you're after; then this converted Victorian house in London's soughtafter Islington is on the market with Portico ,Negative,Positive,Neutral,Negative
773, You'll get change from $1m (it's priced at $706;000); but there's just one bedroom,Negative,Negative,Positive,Negative
774,Photography Portico 4 of 8 Four bed apartment; Mexico; $1.4m Yes it's a couple of hundred thousand over budget; but how dreamy is this place,Negative,Neutral,Negative,Negative
775, Perched on the Bay of Banderos between the white sandy beach and tropical jungle; this apartment has full access to the local beach club,Negative,Positive,Positive,Positive
776, That means a gym; spa and bar and grill on your doorstep,Positive,Positive,Negative,Positive
777, For more; head to Right Move ,Neutral,Neutral,Neutral,Neutral
778,Photography Right Move 5 of 8 Two bed ski apartment; France; $999;000 How about a seriously chic ski hideaway in the French Alps,Negative,Neutral,Neutral,Neutral
779, This impeccably designed 80 squaremetre apartment boasts uninterrupted views of Mont Blanc from the balcony,Negative,Positive,Positive,Positive
780, Buy through Leggett ,Neutral,Neutral,Neutral,Neutral
781,Photography Leggett 6 of 8 One bed apartment; New York; $1;000;000 Okay; so this onebed flat might not look like much from the outside; but the bright and airy interiors are to die for,Negative,Positive,Positive,Positive
782, Plus; it's in trendy Greenwich Village; has breathtaking views of the skyline and is steeped in history as a classic prewar hotel designed by Emery Roth,Negative,Positive,Positive,Positive
783, On the market with Bouklis Group ,Neutral,Neutral,Neutral,Neutral
784,Photography Bouklis Group 7 of 8 Eight bed house; South Africa; $940;000 Make your dream home pay for itself! This fully functional BB in the Western Cape has five ensuite apartments that you can rent out,Negative,Positive,Positive,Positive
785, Right Move has all the details,Positive,Neutral,Neutral,Neutral
786,Photography Right Move,Neutral,Positive,Neutral,Neutral
787,"AustraliaWeaker house prices and the fallout from the banking royal commission will mean 2019 will be a weak year for jobs in the finance; construction; real estate and retail sectors; economists have warned""",Negative,Neutral,Negative,Negative
788,Key points Economists say it will be a weak year for finance jobs; partly owing to the royal commission and partly due to weaker house prices The index on job ads showed financial and insurance services was the weakest performing industry of 2018 Economists predict a weaker property market will also hit other sectors including construction; real estate and retailNew job advertisement data indicates the banking royal commission may have already curtailed career opportunities in financial services,Negative,Negative,Negative,Negative
789, The Sunsuper Australian Job Index measures and tracks digital job advertisements across more than 4;000 sources,Negative,Neutral,Neutral,Neutral
790, It said financial and insurance services was the weakest performing industry of 2018; with demand falling 9.6 per cent yearonyear,Negative,Negative,Neutral,Negative
791, Commissioner Kenneth Hayne will hand down his final report next month; which business chief executives and directors fear could spark a wave of tighter regulations ,Negative,Neutral,Positive,Negative
792, Sunsuper's chief economist; Brian Parker; said the fallout from the royal commission would continue to impact employment demand and career opportunities in the sector,Negative,Neutral,Neutral,Neutral
793, The only comfort from these results is that demand started to stabilise in the last quarter of 2018; growing 1.6 per cent; suggesting that the worst may be over and some rebuilding may occur in the year ahead,Negative,Negative,Negative,Negative
794,""" Why there may be fewer jobs in banking Job website Indeed's AsiaPacific economist Callam Pickering predicts employment prospects in the finance sector will be dim this year",Negative,Negative,Neutral,Negative
795,New home buyers' credit crunchHome buyers could see their borrowing capacity cut by as much as 40pc due to reforms likely to be driven by the Hayne Royal Commission,Negative,Neutral,Neutral,Neutral
796,"""I don't think it will be a strong year for finance employment;"" he said",Neutral,Negative,Neutral,Neutral
797," ""I expect finance jobs to be weak in 2019 partly owing to the royal commission and partly due to weaker house prices",Negative,Negative,Negative,Negative
798,""" He said the banks would bear the pain of most of the declines in job opportunities",Neutral,Negative,Negative,Negative
799," ""It is mostly from the banking side; given where business is at; and given what's happened with property prices;"" Mr Pickering said",Neutral,Neutral,Positive,Neutral
800," ""The banks are likely to do fewer mortgage loans and that will flow through to [lower] demand for new workers",Negative,Neutral,Negative,Negative
801,""" Falling house prices to hit other sectors Mr Pickering said a weaker property market will also hit other sectors including construction; real estate and retail",Negative,Negative,Negative,Negative
802, He said Australia's faith in the property market was shaken in 2018; with falling prices in Sydney and Melbourne expected to continue this year,Negative,Neutral,Neutral,Neutral
803,Property outlook for 2019Policymakers have embarked on the delicate task of deflating a property bubble without bursting it  this year we'll find out if they've succeeded,Negative,Neutral,Negative,Negative
804,In a research report released last week; Fitch Ratings forecast Australian house prices would decline a further 5 per cent this year ; on top of a 6.7 per cent decline from the peak so far; making Australian housing the worst performer out of 24 countries for the second consecutive year,Negative,Negative,Negative,Negative
805, It follows CoreLogic's December figures showing Australian house prices had experienced the sharpest drop since the global financial crisis and would continue to trend lower,Negative,Positive,Neutral,Negative
806," ""The fallout from the royal commission looking into misconduct in banking and financial services; along with softer investor demand; and subdued wage growth; point toward further falls in the year ahead;"" Mr Pickering said",Negative,Positive,Positive,Positive
807, He added that residential construction had already started contracting and real estate employment may decline as sales and commissions drop,Negative,Negative,Neutral,Negative
808, Retailers were already facing intense competition from the likes of Amazon,Positive,Positive,Negative,Positive
809," ""Soft wage growth for most households isn't doing the sector any favours;"" he said",Negative,Neutral,Neutral,Neutral
810,"""A drop in household wealth is the last thing retailers need right now",Positive,Positive,Negative,Positive
811,""" Employment data takes a while to catch up Mr Pickering has also done his own analysis of job postings data and said it showed results consistent with Sunsuper's  finance job ads are taking a hit",Positive,Positive,Positive,Positive
812, He said the jobs advertisements data was inconsistent with official employment figures for finance and insurance services; which showed the sector performed better last year than it did in 2017 and 2016,Negative,Negative,Negative,Negative
813, Mr Pickering said there were numerous reasons for the discrepancy,Negative,Negative,Negative,Negative
814," ""Not every job that's advertised will be filled and not every job that's filled will be advertised;"" he said",Neutral,Negative,Neutral,Neutral
815," ""So there can be noise around job posting measures compared with employment measures",Negative,Neutral,Neutral,Neutral
816," ""Some of what Sunsuper might be seeing in data now is something that has not happened to employment yet; it may have not flowed through to the actual employment data",Negative,Neutral,Neutral,Neutral
817,AnOffice of Fair Trading spokesperson said the agency was ordered to pay $7670 in fines and compensation,Negative,Neutral,Neutral,Neutral
818, The spokesperson said the case was heard in the Cleveland Magistrates Court on Tuesday after an OFT investigation,Negative,Neutral,Neutral,Neutral
819, The spokesperson said Approved Realty pleaded guilty to four counts relating to failing to pay trust account funds and one count of failing to provide information to OFT inspectors,Negative,Negative,Negative,Negative
820, Approved Realtywas ordered to pay $6500 in finesand a further $1170 in compensation to the affected consumer,Negative,Neutral,Neutral,Neutral
821, A spokesperson for Approved Realty said the matter related to an administrative error in 2017 by a previous business associate,Negative,Neutral,Neutral,Neutral
822, He said it had been dealt with and appropriate systems put in place,Positive,Positive,Neutral,Positive
823, The OFT spokesperson said the OFT began investigating the agency after receivinga complaint from a property ownerwho failed to receive rental income for his Alexandra Hills property,Negative,Negative,Negative,Negative
824," The court heard the agency performed property management services for the client;including the payment of rates and lawn maintenance;""the spokesperson said",Neutral,Positive,Negative,Neutral
825," ""Rental amounts were to be paid into the agencys trust account and paid to the owner on a weekly basis",Neutral,Neutral,Negative,Neutral
826," ""Between July 13;2017 and July 27; 2017 the agency received a total of $1170 in rent moniesthat they failed to pay from the account to the property owner",Negative,Negative,Negative,Negative
827,""" The spokesperson said the court heard that the agency had failed to comply with a notice from OFT inspectors to provide information to help with their investigation",Neutral,Neutral,Negative,Neutral
828, Fair Trading acting executive director Craig Turner said the OFT would continue to takeaction against property agents who put their clients funds at risk,Negative,Negative,Negative,Negative
829," ""Reports made to the OFT of property agents disregarding their legal obligations are takenvery seriously;"" Mr Turner said",Negative,Neutral,Neutral,Neutral
830," ""Breaches of trust by real estate agents weakens consumer confidence in the propertyindustry",Positive,Neutral,Negative,Positive
831,""" March 6 2019  1:52PM Cleveland real estate agency iapproved fined after Office of Fair Trading investigation Court and Crime facebook SHARE twitter TWEET email whatsapp CLEVELAND real estate agency Approved Realty; which trades as iapproved; has been fined for not paying trust account funds",Negative,Negative,Negative,Negative
832, AnOffice of Fair Trading spokesperson said the agency was ordered to pay $7670 in fines and compensation,Negative,Neutral,Neutral,Neutral
833, The spokesperson said the case was heard in the Cleveland Magistrates Court on Tuesday after an OFT investigation,Negative,Neutral,Neutral,Neutral
834, The spokesperson said Approved Realty pleaded guilty to four counts relating to failing to pay trust account funds and one count of failing to provide information to OFT inspectors,Negative,Negative,Negative,Negative
835, Approved Realtywas ordered to pay $6500 in finesand a further $1170 in compensation to the affected consumer,Negative,Neutral,Neutral,Neutral
836, A spokesperson for Approved Realty said the matter related to an administrative error in 2017 by a previous business associate,Negative,Neutral,Neutral,Neutral
837, He said it had been dealt with and appropriate systems put in place,Positive,Positive,Neutral,Positive
838, The OFT spokesperson said the OFT began investigating the agency after receivinga complaint from a property ownerwho failed to receive rental income for his Alexandra Hills property,Negative,Negative,Negative,Negative
839," ""The court heard the agency performed property management services for the client;including the payment of rates and lawn maintenance;""the spokesperson said",Neutral,Positive,Negative,Neutral
840," ""Rental amounts were to be paid into the agencys trust account and paid to the owner on a weekly basis",Neutral,Neutral,Negative,Neutral
841," ""Between July 13;2017 and July 27; 2017 the agency received a total of $1170 in rent moniesthat they failed to pay from the account to the property owner",Negative,Negative,Negative,Negative
842,""" The spokesperson said the court heard that the agency had failed to comply with a notice from OFT inspectors to provide information to help with their investigation",Neutral,Neutral,Negative,Neutral
843, Fair Trading acting executive director Craig Turner said the OFT would continue to takeaction against property agents who put their clients funds at risk,Negative,Negative,Negative,Negative
844," ""Reports made to the OFT of property agents disregarding their legal obligations are takenvery seriously;"" Mr Turner said",Negative,Neutral,Neutral,Neutral
845," ""Breaches of trust by real estate agents weakens consumer confidence in the propertyindustry",Positive,Neutral,Negative,Positive
846,""" facebook SHARE twitter TWEET email whatsapp Follow us Local Business View More View More Local Businesses Local Business View More View More Local Businesses Local News Labradoodle Maple pawfect for Victoria Point State High School See video of Queensland Police's Gateway Bridge duck rescue Where to vote on election day Capalaba College students train with police to develop skills Punters back Labor to win federal election Red bench is a reminder of domestic violence Local News Labradoodle Maple pawfect for Victoria Point State High School See video of Queensland Police's Gateway Bridge duck rescue Where to vote on election day Capalaba College students train with police to develop skills Punters back Labor to win federal election Red bench is a reminder of domestic violence Follow us Share via Email Share on Facebook Share on Twitter RSS Feed Australian Community Media Contact Us About Us Advertising Privacy Policy Conditions of Use Terms  Conditions  Newspaper Redland City Bulletin Sitemap Contact Us About Us Advertise With Us Digital Edition Digital Edition  Domain Classifieds OneFlare Business Listings Place an Ad Classifieds  Notices Cars Jobs Domain Tributes Celebrations AgTrader Submit Letters to the Editor"""",1,Negative
NULL,NULL,The new owner of 74 Francis St; Belmont  Greg Hughes""",Negative,Negative,Positive,Negative
847, Picture: Stephen Harman Source:News Limited FIVE bidders were out in force for a clinker brick house in Belmont with agents remaining confident in Geelongs market,Neutral,Neutral,Negative,Neutral
848, A Belmont family has doubled their money after selling 74 Francis St for $630;000 at auction,Negative,Neutral,Neutral,Neutral
849, They bought the property for $310;000 in 2014; according to CoreLogic; and have completed an extensive renovation on the home,Negative,Positive,Negative,Negative
850, MORE REAL ESTATE:Entrylevel Newtown weatherboard house sells after auction Big block in Highton attracts several buyers to auction Strong demand for new and existing apartments in Geelong A huge crowd attended the auction,Negative,Neutral,Neutral,Neutral
851, Picture: Stephen Harman Source:News Limited Buyer Greg Hughes; from Grovedale; said he was attracted to the location; style and size of the property,Negative,Negative,Negative,Negative
852, I will be moving in and I work in Breakwater so makes it easy getting to work; Mr Hughes said,Positive,Positive,Positive,Positive
853, Bidding started at $540;000 with several parties taking it above expectations of $550;000$600;000,Negative,Negative,Neutral,Negative
854, The house has been fully renovated,Neutral,Positive,Positive,Positive
855, Every open home was packed; it did have restrictions including not having a proper backyard or a garage; but buyers saw the potential in it; Mr Goodall said,Negative,Negative,Positive,Negative
856, We knew there were going to be several buyers; some missed out on even getting to bid,Negative,Neutral,Negative,Negative
857, The house has doubled its value in five years,Neutral,Neutral,Positive,Neutral
858, The median house price in Belmont has increased 9.3 per cent in the past year to $535;500; according to CoreLogic,Negative,Positive,Neutral,Negative
859, Last weekend a Hamlyn Heights property had six bidders with 4 Woorayl St selling under the hammer for $673;000,Negative,Positive,Neutral,Negative
860, Agents hope these results will give buyers confidence in the market,Neutral,Positive,Positive,Positive
861, Strong demand should hold capital growth; but sales have plateaued in more Geelong suburbs than they are rising,Negative,Neutral,Negative,Negative
862, CoreLogic figures show dwelling growth eased ,Neutral,Positive,Neutral,Neutral
863,8 per cent in the three months to January 31; with the annual growth figure showing capital growth at 6.5 per cent,Negative,Neutral,Neutral,Neutral
864, Geelongs median house value was $585;000; the figures showed,Negative,Neutral,Negative,Negative
865, Melbourne dwelling values dropped 3.2 per cent in the quarter; with the annual fall measured at 7 per cent,Negative,Negative,Neutral,Negative
866, Bendigo has been tipped as the nations top regional hotspot,Neutral,Positive,Positive,Positive
867, Source:Supplied Mr Ryder said Geelong had been Victorias number one market for a couple of years,Negative,Neutral,Neutral,Neutral
868, We try to feature future hotspots and Geelong is no longer that,Negative,Neutral,Negative,Negative
869, Weve featured it a lot in our reports in the past two years; he said,Positive,Neutral,Positive,Positive
870, Its got to the point where its pretty hot in fact,Neutral,Positive,Neutral,Neutral
871, By our measure its past a peak,Positive,Neutral,Neutral,Neutral
872, Its still producing very strong price growth,Positive,Positive,Positive,Positive
873, While sales data showed that price growth was levelling out; Mr Ryder said the strong buyer demand would continue to deliver strong growth for homeowners in 2019,Neutral,Neutral,Neutral,Neutral
874, Strong growth is also tipped for Ballarat,Neutral,Neutral,Positive,Neutral
875, Source:Supplied He said house prices in 24 Geelong suburbs had risen more than 10 per cent annually; while six were had growth more than 20 per cent; including Corio and Norlane in the north; which had added between 52 and 59 per cent in value in the past three years,Negative,Neutral,Negative,Negative
876, Prices are still strong; we probably expect the rate of price growth to come back a bit as it winds down,Positive,Neutral,Positive,Positive
877, Mr Ryder said firsthome buyers were very active at the moment; particularly around the fringes of Melbourne and that activity continued to spill into Geelong,Negative,Neutral,Negative,Negative
878, Australia's most Instaworthy places 0:42 Australia's most Instaworthy places January 24th 2019 17 days ago /display/newscorpaustralia,Negative,Neutral,Neutral,Neutral
879,head of research Tim Lawless said regional markets were generally showing healthier conditions relative to the capital cities; led by regional Tasmania and Victoria which made up seven of the best 10 regional markets,Negative,Positive,Positive,Positive
880, Regional markets offered firsthome buyers a better chance of getting on the property ladder; he said,Negative,Neutral,Positive,Negative
881, The lower valuation brackets have benefited from higher demand from firsthome buyers as well as tighter lending conditions for borrowers with higher debt to income ratios which is likely supporting a shift of demand towards lower price points,Negative,Neutral,Positive,Negative
882,Motorists have been able to take their car to be cleaned at car washes in Orange for a few years but now they can bring their dog along too,Neutral,Neutral,Positive,Neutral
883, Petes Car Wash in Peisley Street has expanded from fourwheel washing to include fourlegged washing,Negative,Neutral,Neutral,Neutral
884, Manager Michael Rusden said they had been planning the expansion for some time and been seeking the right type of dog wash equipment,Negative,Neutral,Neutral,Neutral
885, He said the wash; which costs from $5; was available for all sizes and breeds of dogs,Negative,Neutral,Neutral,Neutral
886, If you can fit [your dog] in the tub you can use it; he said,Neutral,Neutral,Positive,Neutral
887, The dogs are washed in a fencedoff area to keep them safely away from the regular car wash area,Negative,Positive,Negative,Negative
888, MAP: Where is Petes Car Wash  We started two weeks ago and weve had a few people excited for it; he said,Negative,Negative,Negative,Negative
889, A lot of people are walking down to the car wash and washing their dog,Neutral,Neutral,Neutral,Neutral
890, Mr Rusden said it took about 1015 minutes to wash his border collie Bella,Neutral,Positive,Negative,Neutral
891, AN Orange estate agent has been rewarded for top sales ata national level,Negative,Positive,Negative,Negative
892, And its the second year in a row for the agency with a colleague claiming the same award last year,Negative,Neutral,Neutral,Neutral
893, One Agency Orange sales consultant Josh Fitzgerald has been named Sales Consultant of the Year Australia for the One Agency network,Negative,Neutral,Neutral,Neutral
894, Last year the agencys director Ash Brown won the same award,Neutral,Neutral,Positive,Neutral
895, Mr Fitzgerald said he sold 60 properties in Orange in the year,Neutral,Neutral,Neutral,Neutral
896, He said they averaged $520;000 each with a total value of $34 million,Negative,Neutral,Neutral,Neutral
897, Its pretty special,Positive,Positive,Positive,Positive
898, Out of all the awards you want to get thats it; he said,Neutral,Neutral,Positive,Neutral
899, He received the award at a ceremony in Sydney last week,Positive,Neutral,Neutral,Neutral
900, He said the award was open to agents at 180 One Agency businesses across Australia and was based on several factors including number of sales and the time properties spent on the market before being sold,Negative,Neutral,Negative,Negative
901, Mr Fitzgerald said the Orange property market was strong at present; unlike Sydney,Positive,Neutral,Negative,Positive
902, He said investment demand from Sydney buyers was still solid,Positive,Neutral,Neutral,Neutral
903, [However] we are seeing a slow down with Sydney people seeking to move [to Orange],Neutral,Neutral,Negative,Neutral
904, They are having issues selling their houses; he said,Neutral,Negative,Negative,Negative
905, I cant see the town changing too much unless something major happens; Mr Fitzgeraldsaid,Negative,Negative,Neutral,Negative
906, Dog wash opens and real estate agent cleans up award David Fitzsimons Latest News ,Negative,Positive,Neutral,Negative
907,Mr Drummond has just finished seven weeks of radiation treatment; along with three sessions of chemotherapy; made necessary by a throat cancer diagnosis in August,Negative,Negative,Negative,Negative
908, Just one of those things; you go away on a holiday; I couldnt swallow properly; he said,Positive,Neutral,Negative,Positive
909, Came back; fortunately I did something about it and found out fairly quickly,Negative,Positive,Negative,Negative
910, A Rotary representative on the Hilltop accommodation centre board; Mr Drummond is happy to promote the benefits of the Borders cancer care facilities,Positive,Positive,Positive,Positive
911, Were so lucky; I leave home 10 minutes before an appointment; go through treatments and things and Im home again in 10 minutes; he said,Negative,Neutral,Negative,Negative
912, A real estate business owner since 1977; Mr Drummond has run offices in Wodonga; Myrtleford; Bright and Beechworth as well as the present Drummond Real Estate Albury site in Stanley Street since 1993,Negative,Positive,Neutral,Negative
913, While the internet and social media have changed the industry; the agency still values neighbourhood visits,Negative,Neutral,Negative,Negative
914, I believe you cant sit on your bottom in the office and expect it to come to you; youve got to go out and what we call TTP; Talk To People; he said,Negative,Negative,Negative,Negative
915, Nominated several times previously for the Leader of the Year award; Mr Drummond said he can't quite still believe he won late last month,Negative,Neutral,Neutral,Neutral
916, Its a oneoff award; you can never get it again; he said,Negative,Negative,Positive,Negative
917, You know; Ive spent 40something years at it and Ive made a hell of a lot of mistakes; and this is a bit of a recognition that maybe Ive got some of the things lined up eventually,Negative,Negative,Neutral,Negative
918,Supplied THE transformation to this threebedroom North Shore home couldnt be any more stark,Neutral,Neutral,Negative,Neutral
919, What once was a fibro clad bungalow with aluminium windows has morphed into a weatherboard delight that drips with character,Positive,Positive,Positive,Positive
920, But its no illusion at 27 Pine Ave ,Negative,Neutral,Negative,Negative
921, MORE REAL ESTATE:Huge interest for renovated Victorian era Newtown house How to be successful during peak rental season Geelongs G1 Apartments topsout providing spectacular view from the top The stunning kitchen,Positive,Positive,Positive,Positive
922, The owners considered nearly every square metre of the 1007sq m block; transforming the house; garden and an amazing deck,Positive,Positive,Negative,Positive
923, Whats immediately apparent is the materials and appliances that have gone in to create this home,Negative,Negative,Negative,Negative
924, Rich polished floorboards flow throughout the home; save for the heated tile floors in the bathroom,Positive,Positive,Positive,Positive
925, Entertain in style in the backyard,Neutral,Positive,Neutral,Neutral
926, The kitchen has three ovens; including a steam oven; plus a microwave and plate warmer; creating an entertainers delight,Negative,Positive,Positive,Positive
927, Inside the walls is something else,Neutral,Neutral,Neutral,Neutral
928, Insulated for heat and acoustic needs; they also hold the CBus system where from a touch panel or phone app occupants control everything from the airconditioning and hydronic heating; television and Foxtel; and even the blinds,Negative,Positive,Positive,Positive
929, One of the bathrooms,Neutral,Neutral,Neutral,Neutral
930, At the front is a guest bedroom; with builtin wardrobe; while the second bedroom also has builtin storage,Negative,Positive,Neutral,Negative
931, The main bedroom has its own builtin wardrobe and a lavish ensuite with ceiling height tiles; a luxury double shower and double vanity,Positive,Positive,Positive,Positive
932, French doors open front and back,Neutral,Neutral,Neutral,Neutral
933, Plans show how new owners could create a walkin wardrobe and extend the second bedroom,Neutral,Positive,Neutral,Neutral
934, The loungeroom is at the front of the house,Neutral,Neutral,Neutral,Neutral
935,Another luxury is the main bathroom; which has its own double vanity and shelllike bath placed in the centre of the room beneath a waterfall shower head where occupants can luxuriate while looking out french doors to the private backyard,Negative,Positive,Positive,Positive
936, This space is something else,Neutral,Neutral,Neutral,Neutral
937, The oregon trusses perched on solid bluestone pillars hold the gabled veranda that follows the roofline,Negative,Positive,Negative,Negative
938, Beneath; wide boards support a gas fire feature and a stainless steel outdoor kitchen and barbecue area to support any type of entertaining,Negative,Positive,Positive,Positive
939, To the side is a full outdoor bar area and a spa that adds more opportunities to enjoy the meticulous garden that focuses on a water feature framed by a stand of silver birch,Positive,Positive,Positive,Positive
940, The whole house is packaged behind a bluestone and timber fence with an automatic gate thats a 200m walk from one of the best foreshore views over Geelong,Negative,Positive,Neutral,Negative
941,Supplied A RARE 2025sq m property in the heart of Torquay has just hit the market for the first time in more than 80 years,Negative,Positive,Positive,Positive
942, A site of this size is unheard of in the sought after old Torquay location at 20 Anderson St ,Negative,Neutral,Positive,Negative
943, Great Ocean Properties; Torquay agent Ian Lawless said there had never been one like this for sale before,Positive,Neutral,Positive,Positive
944,Renovated Geelong West house sells $60K above reserve at auction Whats next for Geelongs property market as lossmaking sales hits 16year low Mount Moriac lifestyle and grazing property too hard to pass up The property is on two titles,Negative,Neutral,Neutral,Neutral
945,The mother and father of the lady that owns it now bought it and it has been used as a family beach house and lived in a couple of times; Mr Lawless said,Negative,Positive,Positive,Positive
946, The vendor moved into the property permanently when she retired,Positive,Neutral,Neutral,Neutral
947, The threebedroom house; that is positioned on two lots with separate titles; is in original condition,Negative,Neutral,Positive,Negative
948, The property is very private,Positive,Neutral,Positive,Positive
949,Mr Lawless said the majority of interest for the property Hillside so far was from people looking to keep the site and put a house on there,Negative,Neutral,Neutral,Neutral
950, You could use both sites and create a family home; its quite private so you could build something really lovely on it; he said,Positive,Positive,Positive,Positive
951, A lot of people living in the area know old Torquay and want a bigger site that is close to town and close to the beach,Positive,Neutral,Neutral,Neutral
952, Why location is everything in real estate 1:58 Why location is everything in real estate September 10th 2018 4 months ago /display/newscorpaustralia,Negative,Negative,Neutral,Negative
953,com/Web/NewsNetwork/REA  Real Estate/Mr Lawless said as the property was on two titles there was potential for two parties to join forces and buy the property and have half each,Negative,Neutral,Neutral,Neutral
954, There is also potential to subdivide; develop and create multiple dwellings,Positive,Neutral,Neutral,Neutral
955,Bob Onofri; who turns 86 on Tuesday; is a fixture of the Illawarras real estate industry,Negative,Neutral,Neutral,Neutral
956, Pictures: Robert Peet Share Tweet Aa Forget about the modern trappings of a mobile phone; computer; website or social media account,Neutral,Neutral,Neutral,Neutral
957, Share Tweet Aa Forget about the modern trappings of a mobile phone; computer; website or social media  real estate agent Bob Onofri happily operates without any of them,Negative,Positive,Negative,Negative
958, I dont even know how to use these things; he laughed,Positive,Negative,Negative,Negative
959, If I need to; Ill call the people (on the landline) myself,Neutral,Neutral,Negative,Neutral
960, Wollongong resident Mr Onofri; who turns86 on Tuesday; is a fixture of Illawarra real estate,Negative,Neutral,Neutral,Neutral
961, Hes been in the same location in Crown Street for 51 years,Neutral,Neutral,Neutral,Neutral
962, Relatives help with some of the business aspects such as leases; as well as posting listings on sites such as Gumtree,Negative,Positive,Positive,Positive
963, However; its predominantly a oneman operation; maintaining a modest shopfront with photographs and typed descriptions of his latest listings posted in the window,Neutral,Neutral,Negative,Neutral
964, Initially a boilermaker by trade; Mr Onofri relocated to Australia in 1952 so he could earn money to send back to his family in Italy,Negative,Neutral,Neutral,Neutral
965, He worked on the Snowy Mountains HydroElectric Scheme from 1954 to 1956,Negative,Neutral,Neutral,Neutral
966, He worked at EPT at Port Kembla for several years; and then started working in real estate in 1961,Negative,Neutral,Neutral,Neutral
967, In those days there werent many real estate agents There have been big changes since then; he said,Negative,Neutral,Positive,Negative
968, (These days) I look and see buildings go up overnight; you just see a sixstorey building that wasnt there yesterday; he laughed,Negative,Neutral,Negative,Negative
969, He launchedhis own business; Coastline Realtors; in 1967,Negative,Positive,Neutral,Negative
970, The name was changed to Bob Onofri Real Estate in 1974,Neutral,Neutral,Neutral,Neutral
971, He still uses his original telephone switchboard,Positive,Negative,Negative,Negative
972, Mr Onofri said while the industry overall had altered drastically throughout the years; the ideas of trust; persistence and treating the customer with respect hadnt,Positive,Negative,Negative,Negative
973, You have to look after people; he said,Neutral,Neutral,Positive,Neutral
974, To be successful in business you have to be trustworthy; and how you present yourself is also important,Positive,Positive,Positive,Positive
975, Mr Onofris wife Ruth died nearly 12 years ago,Negative,Neutral,Neutral,Neutral
976, I like to talk to people; and it makes my day go quicker; he said of working,Positive,Positive,Positive,Positive
977, Real estate has been good to me,Positive,Positive,Positive,Positive
978, Its made my life easier; and helped me look after my kids,Positive,Positive,Positive,Positive
979, When you go to a new country; dont let anybody say; you cant do it,Neutral,Negative,Negative,Negative
980, You just go and do it,Neutral,Neutral,Neutral,Neutral
981, Mr Onofri said his most recent sale was a block of land at New Dapto Roadabout four weeks ago,Negative,Negative,Neutral,Negative
982, He plans to continue working; as long as I can walk; and will be celebrating his birthday with a lunch at Centro CBD,Negative,Positive,Positive,Positive
983, Illawarra Mercury Share Tweet Aa Follow us on Facebook Contact Us Advertising Privacy Policy Conditions of Use Copyright  2018,Negative,Neutral,Neutral,Neutral
984,"Many small businesses have personal and business finances tied up""",Negative,Neutral,Positive,Negative
985, New lending to small business has slowed noticeably over the past year; and the situation was being complicated by the dependence of small business owners on residential property as collateral for loans; the council noted,Negative,Negative,Negative,Negative
986, Roughly half the $220 billion of small business loans currently outstanding are secured against houses and apartments,Negative,Positive,Negative,Negative
987, The council  chaired by Reserve Bank governor Philip Lowe and including representatives from the Australian Prudential Regulation Authority; the Australian Securities and Investments Commission and Treasury  are influential in regulating banks' lending behaviour through their control of macroprudential policy which can be used to tighten or loosen available credit,Negative,Neutral,Positive,Negative
988, For many small businesses; personal and business finances are intermingled,Neutral,Neutral,Neutral,Neutral
989," As a consequence; the higher standards that lenders apply to personal borrowing are affecting some small business loan applications;"" the Council's statement said",Negative,Neutral,Negative,Negative
990," ""Further falls in housing prices could constrain small business borrowing; given that around half of loans to unincorporated businesses are secured by residential property",Negative,Neutral,Positive,Negative
